id	baseMean	log2FoldChange	lfcSE	pvalue	padj	symbol
ENSG00000253368.3	1048.33058699046	1.9973249502647	0.118249715808246	2.19142869008203e-65	1.75585614949144e-62	TRNP1
ENSG00000162493.16	1059.34013834025	1.77306766213225	0.106595599233341	2.11621260684649e-63	1.61851787830905e-60	PDPN
ENSG00000163884.3	554.379424326425	4.4515452508906	0.274986619179367	6.43676815844714e-62	4.70891569713181e-59	KLF15
ENSG00000124766.6	1282.83685093199	-2.3838490666563	0.14639911057208	1.90707265508467e-61	1.33701685393561e-58	SOX4
ENSG00000146250.6	309.129109675509	-2.700785318848	0.165061632812754	1.98926163740983e-61	1.33885265244231e-58	PRSS35
ENSG00000126016.15	400.685741876937	-2.55513364679005	0.156884031225899	5.00789066404088e-61	3.24087570435199e-58	AMOT
ENSG00000233117.2	121.301334908689	4.85816881865718	0.300496845877902	6.44685974239832e-60	4.01758748242941e-57	NA
ENSG00000163661.3	9810.48917183718	2.23584796247983	0.139687215800589	1.46772705525772e-59	8.81999122563087e-57	PTX3
ENSG00000165995.19	556.77998090365	3.13172353199388	0.197098179957558	1.20678724982196e-58	7.00186285017391e-56	CACNB2
ENSG00000163394.5	1177.37128505114	-2.17046216349062	0.136567277114847	2.49343231572903e-58	1.39848307148189e-55	CCKAR
ENSG00000163083.5	421.432269387367	3.43996722364548	0.218595589797748	1.17180263684563e-57	6.3602423121176e-55	INHBB
ENSG00000262655.3	1640.92915490689	1.78876770538185	0.113312732263351	1.80137864397402e-57	9.47187408234589e-55	SPON1
ENSG00000172403.10	9161.27803771573	1.77224675638824	0.113110739726225	5.00799802032603e-57	2.5534719603032e-54	SYNPO2
ENSG00000136478.7	3710.04682760039	1.48157537997806	0.0943110528161045	6.71495301011686e-57	3.32311174553607e-54	TEX2
ENSG00000154930.14	657.673277596555	1.86465874638955	0.118984227410953	1.34958261556236e-56	6.48802202555779e-54	ACSS1
ENSG00000116285.12	3246.08216199388	2.41627112566402	0.155499606408196	1.98711913134054e-56	9.28757402887109e-54	ERRFI1
ENSG00000107562.16	27613.4364153155	-1.81126532028024	0.11683944085704	2.65904188413874e-55	1.20921726331131e-52	CXCL12
ENSG00000196569.12	17999.0708998103	2.02609496626693	0.132643596082611	2.15116412502223e-54	9.52512830726948e-52	LAMA2
ENSG00000105989.9	349.113418644803	-3.02018360739032	0.198912151830349	1.89783757127979e-53	8.18795255752661e-51	WNT2
ENSG00000162616.8	1435.14714879712	1.30594426030841	0.086730930656343	3.06129175970685e-52	1.28773237872069e-49	DNAJB4
ENSG00000124762.13	8026.71250407992	-1.01460424476897	0.0678893261950096	2.62216444690731e-51	1.0761107069186e-48	CDKN1A
ENSG00000046653.14	1098.65142041073	2.57565304202995	0.17469878883039	7.42039249046864e-51	2.97275057249108e-48	GPM6B
ENSG00000106484.15	945.213317053468	-1.95606770576317	0.133426088336953	4.52125419642724e-50	1.76917728160662e-47	MEST
ENSG00000126803.9	460.262055695098	2.46658553231791	0.168360263643252	4.6961419505072e-50	1.7958473740735e-47	HSPA2
ENSG00000163431.12	6807.91970774642	1.18046552573194	0.0802862744201424	4.87107976362298e-50	1.82135084672712e-47	LMOD1
ENSG00000133142.17	3024.99023553868	1.52004445745681	0.104148713059152	1.22101669364988e-49	4.46626671464192e-47	TCEAL4
ENSG00000138316.10	759.617216189973	-2.489827404303	0.171677628994576	1.27332593036907e-49	4.55850683072127e-47	ADAMTS14
ENSG00000148175.12	13486.9576118983	1.41264917331981	0.0964832302692612	1.58419556371885e-49	5.55326553231946e-47	STOM
ENSG00000179094.15	777.279509807148	3.12094997257943	0.217407109072504	3.05074145345654e-49	1.04758725909918e-46	PER1
ENSG00000197381.15	1892.06025557786	2.22531337409917	0.154353725356095	7.18494800244539e-49	2.41787870178292e-46	ADARB1
ENSG00000103742.11	370.556858276598	-2.27737271795562	0.157713256812623	9.19459859140806e-49	3.0334963901771e-46	IGDCC4
ENSG00000157150.4	191.451831352867	2.87967107952917	0.200463716886961	5.35678995722623e-48	1.73333361192863e-45	TIMP4
ENSG00000148848.14	1355.97672270255	-1.82982558251646	0.127834210345119	7.3400828949863e-48	2.33026858096301e-45	ADAM12
ENSG00000164647.8	1851.96761210608	1.55810557293661	0.108773807344635	7.75526762454432e-48	2.41648394538116e-45	STEAP1
ENSG00000102804.14	5301.6707297577	1.17446449298517	0.082262924226474	2.5029230763858e-47	7.65712430604864e-45	TSC22D1
ENSG00000145685.13	2007.82058026421	-1.16094089924709	0.0810949600906263	2.83320586509229e-47	8.25849484255355e-45	LHFPL2
ENSG00000151726.13	1459.58429185538	1.59953451037161	0.11236437162508	2.81528547774127e-47	8.25849484255355e-45	ACSL1
ENSG00000185432.11	3830.19454901185	2.17855736336567	0.15402703526048	2.8467413578278e-47	8.25849484255355e-45	METTL7A
ENSG00000103196.11	3110.86399798006	2.59581347394783	0.186808301614847	3.12719988687953e-46	8.91835005027713e-44	CRISPLD2
ENSG00000172986.12	758.822619055717	-1.66697698054162	0.119238795762704	1.24635100329215e-45	3.49518366356561e-43	GXYLT2
ENSG00000167641.10	237.561535051159	3.00329970121411	0.215794696226356	1.37811109824136e-45	3.80132743262444e-43	PPP1R14A
ENSG00000070404.9	1751.85355714286	1.58684001211766	0.114201198317475	3.54286453458872e-45	9.61487720306287e-43	FSTL3
ENSG00000068383.18	1420.29225483192	1.39373198595	0.101223887429105	2.72830079545365e-44	7.28672844195287e-42	INPP5A
ENSG00000008256.15	3736.01008910986	1.21298940378414	0.088224744686142	3.93009399698801e-44	1.03324627489563e-41	CYTH3
ENSG00000099337.4	910.236270997722	2.59056415078971	0.191319510243769	1.14614899502498e-43	2.96693892158311e-41	KCNK6
ENSG00000162407.8	25968.6236332092	-0.981072112860242	0.072403550023536	7.69090011660717e-43	1.96071341457625e-40	PLPP3
ENSG00000187193.8	194.050218876143	3.14585083764596	0.234384631484209	1.64711042195726e-42	4.13645969550042e-40	MT1X
ENSG00000130513.6	461.186931516881	-1.9079661477954	0.142053818111954	1.67522997751317e-42	4.14520876494657e-40	GDF15
ENSG00000134686.18	2881.56183568869	1.42878439260321	0.107829416835893	3.44388552915558e-41	8.39808955269156e-39	PHC2
ENSG00000112837.16	2655.47568776044	-1.70319699458128	0.130319469427	1.19111998053964e-40	2.86311211322285e-38	TBX18
ENSG00000197043.13	14146.0604054642	0.959815717861738	0.0728498787353909	1.48226445861378e-40	3.51275799727259e-38	ANXA6
ENSG00000147027.3	12573.1706394675	1.14470154609108	0.0874120126991361	2.67179396144298e-40	6.2438340548944e-38	TMEM47
ENSG00000168309.17	142.224328085247	4.76722520753949	0.36541208387965	4.13256554207338e-40	9.52528052204475e-38	FAM107A
ENSG00000108821.13	100453.226615932	-1.2565309074092	0.0964132381434456	4.73726020606945e-40	1.07715054361249e-37	COL1A1
ENSG00000136999.4	442.840208326914	-2.55746019141874	0.198326454706128	8.4275911692273e-40	1.89070198684558e-37	CCN3
ENSG00000101825.7	4706.63456485904	-1.28136824223804	0.0987975120388815	1.212409828347e-39	2.68421154891666e-37	MXRA5
ENSG00000163513.17	13257.4924326055	1.46216999603507	0.112912986496651	1.48750119620278e-39	3.25047988666338e-37	TGFBR2
ENSG00000115457.9	1945.51569907269	2.18878904198658	0.169938435180988	1.67035537305459e-39	3.60325634705339e-37	IGFBP2
ENSG00000131389.17	739.632108153759	-2.00638692261736	0.156660066333419	3.90891285864786e-39	8.3254895898239e-37	SLC6A6
ENSG00000071282.11	4049.90980549086	1.60108597251554	0.12518066685304	6.39907001458271e-39	1.34588440081711e-36	LMCD1
ENSG00000150907.7	682.008152309827	2.21633782705137	0.174715953355762	1.52847370695101e-38	3.17507390038984e-36	FOXO1
ENSG00000149218.4	2035.37497688142	1.92046544366759	0.15195646031375	2.77810399814162e-38	5.7005338869184e-36	ENDOD1
ENSG00000138735.15	7414.39040812603	-1.12952895221648	0.0891178744676946	6.3711652484579e-38	1.29158104181389e-35	PDE5A
ENSG00000196517.11	237.699161630794	-2.35891918308818	0.186904926131289	6.62105776728573e-38	1.32626092848035e-35	SLC6A9
ENSG00000146122.16	2585.37489499013	1.66877745574776	0.132929756072685	1.34696553095215e-37	2.66635788515304e-35	DAAM2
ENSG00000134363.11	2754.18926951873	-1.53479013145164	0.123231035760617	2.49567618438281e-37	4.88281947423547e-35	FST
ENSG00000020577.13	3109.0536249036	1.20382261477865	0.0963064717744494	5.52929411880284e-37	1.06937819359743e-34	SAMD4A
ENSG00000123562.16	4975.00764753519	1.03853986700548	0.0829510257747107	5.89670079680358e-37	1.12747599553429e-34	MORF4L2
ENSG00000227051.6	4577.38664517476	-1.08394538183233	0.0866751781382987	6.8149772177303e-37	1.28841355803966e-34	C14orf132
ENSG00000277443.2	5712.14117656488	-1.18841620152546	0.0960533201691307	1.13969604160917e-36	2.1307250662351e-34	MARCKS
ENSG00000131831.17	1007.6672383031	1.4393124393794	0.115802731239025	1.4050068394098e-36	2.59787308570432e-34	RAI2
ENSG00000119138.4	1699.33982494287	2.05506902452154	0.167374954538081	2.04754560246363e-36	3.74478285946229e-34	KLF9
ENSG00000177666.16	2593.5007309798	1.12967681922054	0.0912638784377225	2.72663803383747e-36	4.93316253304831e-34	PNPLA2
ENSG00000163110.14	1296.82439509182	1.51936502682648	0.123356591358755	3.73968079253707e-36	6.69402861864135e-34	PDLIM5
ENSG00000122035.6	920.624926872165	2.14942914660592	0.175714946471703	4.95847531660824e-36	8.78224270286844e-34	RASL11A
ENSG00000180914.10	537.227557693878	1.81196743364481	0.147291729188713	5.5719485891628e-36	9.76600072513055e-34	OXTR
ENSG00000185950.8	2245.29224280872	2.09783112802797	0.17241265958368	7.38057831821844e-36	1.28026402868395e-33	IRS2
ENSG00000137809.16	1163.00488120995	-1.65706340018839	0.136155272836484	1.6932952860764e-35	2.90728433505322e-33	ITGA11
ENSG00000221866.9	844.058709834405	2.68436504725999	0.223457245459686	2.0315219720983e-35	3.44711208649118e-33	PLXNA4
ENSG00000221869.4	1981.15635831172	1.50263117562178	0.12350104698734	2.04868185337643e-35	3.44711208649118e-33	CEBPD
